iris_code,iris_name,cc,zone,observed_prix_m2,value_trap_score,alpha_score,alpha_new,institutional_score,inst_new,prof_Core,prof_Growth,prof_Value,prof_Developer,prof_Institutional
940600105,Village Pierre Lais,94060,PetiteCouronne,3958.0,14.3,83.6,75.1,84.2,77.0,79.7,74.5,81.5,65.9,77.0
930661501,Pleyel 01,93066,PetiteCouronne,5474.0,11.4,71.1,76.0,78.9,76.0,78.6,78.9,63.1,75.6,76.0
940170101,Tremblay 1,94017,PetiteCouronne,5085.0,15.6,77.4,75.1,83.6,75.7,76.7,77.7,66.7,80.4,75.7
940170601,République,94017,PetiteCouronne,3926.0,19.0,88.2,76.5,86.3,73.7,70.7,77.7,74.7,79.2,73.7
940440102,Les Neufs Saulets,94044,PetiteCouronne,3471.5,17.8,79.0,70.7,81.8,73.7,78.1,69.9,77.9,63.3,73.7
930310601,Iris 19,93031,PetiteCouronne,2968.5,18.5,80.1,69.3,81.6,72.8,77.3,68.2,76.8,62.2,72.8
774640101,Ouest-Sud,77464,GrandeCouronne,3586.0,17.7,83.3,71.4,83.7,72.3,74.0,71.5,77.1,63.6,72.3
785020000,Le Port-Marly (commune non irisée),78502,GrandeCouronne,4569.5,17.1,76.5,68.0,80.4,72.2,78.3,67.3,72.8,61.1,72.2
930510105,Centre ville 5,93051,PetiteCouronne,4867.0,15.6,75.6,69.2,79.6,72.2,77.9,69.0,71.1,61.5,72.2
773500401,Gare-Brèche aux Loups,77350,GrandeCouronne,4022.0,18.3,84.0,70.5,83.4,71.6,73.1,70.6,76.2,62.8,71.6
950520101,Centre Ville,95052,GrandeCouronne,2969.0,18.7,82.7,70.0,83.5,71.4,73.4,70.2,76.0,62.6,71.4
940190105,Paris Chennevières,94019,PetiteCouronne,4607.0,20.6,75.5,70.3,81.7,71.3,72.2,72.7,64.2,76.7,71.3
940440104,Centre Ville,94044,PetiteCouronne,3720.0,19.5,78.4,69.5,80.3,71.3,74.8,68.8,75.6,62.3,71.3
771110000,Chessy (commune non irisée),77111,GrandeCouronne,4808.0,16.4,71.7,68.2,77.4,71.3,76.9,68.5,68.6,60.6,71.3
770850000,Chanteloup-en-Brie (commune non irisée),77085,GrandeCouronne,3902.0,19.4,81.3,67.3,82.7,71.2,76.1,66.2,75.4,61.1,71.2
