iris_code,iris_name,zone,observed_prix_m2,value_trap_score,alpha_score
775040000,Villemaréchal (commune non irisée),GrandeCouronne,2133.0,61.0,78.0
785670000,Saint-Martin-la-Garenne (commune non irisée),GrandeCouronne,2746.0,61.7,77.2
774900000,Vendrest (commune non irisée),GrandeCouronne,2176.5,65.9,76.5
956560000,Vienne-en-Arthies (commune non irisée),GrandeCouronne,2818.5,64.0,76.3
955410000,Saint-Clair-sur-Epte (commune non irisée),GrandeCouronne,2274.5,61.6,76.2
771740000,Everly (commune non irisée),GrandeCouronne,1681.5,63.2,76.1
780680000,Blaru (commune non irisée),GrandeCouronne,2461.5,60.2,76.0
774340000,Saint-Sauveur-lès-Bray (commune non irisée),GrandeCouronne,2371.0,66.6,76.0
773000000,Montceaux-lès-Meaux (commune non irisée),GrandeCouronne,2425.5,64.5,75.9
774510000,Signy-Signets (commune non irisée),GrandeCouronne,2445.0,65.9,75.9
785590000,Saint-Illiers-le-Bois (commune non irisée),GrandeCouronne,2592.5,60.2,75.8
780090000,Allainville (commune non irisée),GrandeCouronne,2316.0,68.1,75.8
774210000,Saint-Mars-Vieux-Maisons (commune non irisée),GrandeCouronne,1973.0,64.3,75.7
770190000,Balloy (commune non irisée),GrandeCouronne,1906.0,64.9,75.7
772530000,Lissy (commune non irisée),GrandeCouronne,2663.5,68.1,75.4
783910000,Méricourt (commune non irisée),GrandeCouronne,2661.0,61.3,75.4
953090000,Hodent (commune non irisée),GrandeCouronne,3146.5,67.5,75.3
772300000,Ichy (commune non irisée),GrandeCouronne,1818.5,68.0,75.3
772200000,Guercheville (commune non irisée),GrandeCouronne,1829.0,65.4,75.3
775300000,Voulton (commune non irisée),GrandeCouronne,1766.0,70.1,75.2
770680000,Cessoy-en-Montois (commune non irisée),GrandeCouronne,1892.0,66.9,75.1
773640000,Le Plessis-aux-Bois (commune non irisée),GrandeCouronne,2397.5,62.2,75.1
916290000,Valpuiseaux (commune non irisée),GrandeCouronne,2541.5,62.0,75.1
950940000,Bouqueval (commune non irisée),GrandeCouronne,3125.0,63.6,75.1
770080000,Armentières-en-Brie (commune non irisée),GrandeCouronne,2881.0,61.6,75.1
783610113,Sainte-Anne,GrandeCouronne,2462.5,61.4,75.0
953410000,Livilliers (commune non irisée),GrandeCouronne,3062.5,65.6,75.0
774610000,Thénisy (commune non irisée),GrandeCouronne,1512.5,69.6,75.0
775220000,Villiers-sur-Seine (commune non irisée),GrandeCouronne,1488.0,64.1,75.0
783610103,Mozart Guynemer,GrandeCouronne,1575.0,63.5,75.0
912470000,La Forêt-le-Roi (commune non irisée),GrandeCouronne,2626.5,64.0,75.0
773660000,Le Plessis-l'Évêque (commune non irisée),GrandeCouronne,2597.0,69.5,74.9
953790000,Maudétour-en-Vexin (commune non irisée),GrandeCouronne,2787.0,65.4,74.8
771030000,Châtillon-la-Borde (commune non irisée),GrandeCouronne,2731.0,67.5,74.8
951690000,Commeny (commune non irisée),GrandeCouronne,2747.0,67.5,74.8
950230000,Arronville (commune non irisée),GrandeCouronne,2951.0,66.6,74.8
772660000,Machault (commune non irisée),GrandeCouronne,2368.0,62.5,74.8
782370000,Flins-Neuve-Église (commune non irisée),GrandeCouronne,2719.0,65.8,74.8
773670000,Le Plessis-Placy (commune non irisée),GrandeCouronne,1672.0,70.4,74.7
951190000,Buhy (commune non irisée),GrandeCouronne,2784.0,67.1,74.7
782830000,Grandchamp (commune non irisée),GrandeCouronne,2830.0,67.5,74.6
772280000,Hondevilliers (commune non irisée),GrandeCouronne,1991.5,66.9,74.5
773370202,Ville Nouvelle Centre-Ouest,GrandeCouronne,2918.0,60.3,74.4
784440000,Neauphlette (commune non irisée),GrandeCouronne,2468.5,65.2,74.4
770210000,Barbey (commune non irisée),GrandeCouronne,1773.5,71.4,74.4
774170000,Saint-Léger (commune non irisée),GrandeCouronne,1610.0,67.4,74.3
956800113,D.L.M. Nord,GrandeCouronne,2885.0,61.2,74.3
952950000,Guiry-en-Vexin (commune non irisée),GrandeCouronne,3054.0,62.4,74.2
782340000,Flacourt (commune non irisée),GrandeCouronne,2897.0,70.0,74.2
772310000,Isles-les-Meldeuses (commune non irisée),GrandeCouronne,2772.5,64.5,74.2
783850000,Ménerville (commune non irisée),GrandeCouronne,3009.0,69.8,74.2
772810000,Mauperthuis (commune non irisée),GrandeCouronne,2583.0,66.7,74.0
785050000,Prunay-le-Temple (commune non irisée),GrandeCouronne,2613.0,65.1,74.0
770940000,Charmentray (commune non irisée),GrandeCouronne,3199.0,62.5,74.0
772040000,Germigny-sous-Coulombs (commune non irisée),GrandeCouronne,1803.5,61.0,73.9
781470000,Chaufour-lès-Bonnières (commune non irisée),GrandeCouronne,2242.0,64.6,73.9
953480000,Longuesse (commune non irisée),GrandeCouronne,3236.5,61.7,73.8
771120000,Chevrainvilliers (commune non irisée),GrandeCouronne,2244.5,64.4,73.7
